tilaaja_taso_0	tilaaja_taso_1	tilaaja_taso_2	tilaaja_taso_3	VSSHP_boolean	custorg0	custorg1	custorg2	custorg3
Muut	Muut	Muut	PETREA/työterv.hoitaja	0	MUUT        	MUUT        	MUUT        	PETRTT      
Salon seudun ova	Perniön tk	Perniön vk	Perniön vk	0	SSSova      	PETK        	PEVK        	PEVK        
Turunmaan ova	Paraisten tk	PAR:TYÖTERVEYSHUOLTO	PAR:Työterveyshuolto	0	TMSova      	PARTK       	PFHV        	PFHV        
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,PH101 PÄIHDEYKSIKKÖ	Salo,PH101 päihdeyksikkö	1	SSSova      	SSSHA       	PH101       	PH101       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo,PH101 päihdeyksikkö	1	S/HS        	S/HS        	S/HS70      	PH101       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo,PH101 päihdeyksikkö	1	PSY-TA      	PSY-AI      	S/HS70      	PH101       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo,PH102 vastaanottoyksikkö	1	PSY-TA      	PSY-AI      	S/HS70      	PH102       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo,PH102 vastaanottoyksikkö	1	S/HS        	S/HS        	S/HS70      	PH102       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,PH102 VASTAANOTTOYKSIKKÖ	Salo,PH102 vastaanottoyksikkö	1	SSSova      	SSSHA       	PH102       	PH102       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo,PH103 yleissair.psyk.os.	1	PSY-TA      	PSY-AI      	S/HS70      	PH103       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,PH103 YLEISSAIR.PSYK.OS.	Salo,PH103 yleissair.psyk.os.	1	SSSova      	SSSHA       	PH103       	PH103       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo,PH103 yleissair.psyk.os.	1	S/HS        	S/HS        	S/HS70      	PH103       
Psykiatrian tulosalue	Lastenpsykiatria	Halikon sairaala/lastenpsyk.	Salo,lasten yksikkö	1	PSY-TA      	PSY-LA      	S/HS75      	PH401       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,LASTEN YKSIKKÖ	Salo,lasten yksikkö	1	SSSova      	SSSHA       	PH401       	PH401       
Halikon sairaala	Halikon sairaala	Halikon sairaala/lastenpsyk.	Salo,PH402 nuorten yksikkö	1	S/HS        	S/HS        	S/HS75      	PH402       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,PH402 NUORTEN YKSIKKÖ	Salo,PH402 nuorten yksikkö	1	SSSova      	SSSHA       	PH402       	PH402       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo,PH501 kuntoutusyksikkö	1	S/HS        	S/HS        	S/HS70      	PH501       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,PH501 KUNTOUTUSYKSIKKÖ	Salo,PH501 kuntoutusyksikkö	1	SSSova      	SSSHA       	PH501       	PH501       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo,PH501 kuntoutusyksikkö	1	PSY-TA      	PSY-AI      	S/HS70      	PH501       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,PH503 KUNTOUTUSOSASTO	Salo,PH503 kuntoutusosasto	1	SSSova      	SSSHA       	PH503       	PH503       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo,PH503 kuntoutusosasto	1	PSY-TA      	PSY-AI      	S/HS70      	PH503       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo,PH503 kuntoutusosasto	1	S/HS        	S/HS        	S/HS70      	PH503       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	PH504 kuntoutusosasto 504	1	S/HS        	S/HS        	S/HS70      	PH504       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	PH504 kuntoutusosasto 504	1	PSY-TA      	PSY-AI      	S/HS70      	PH504       
Salon seudun ova	Halikon sairaala (SSSHA )	PH504 KUNTOUTUSOSASTO 504	PH504 kuntoutusosasto 504	1	SSSova      	SSSHA       	PH504       	PH504       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo,vanhuspsyk.os 601	1	S/HS        	S/HS        	S/HS70      	PH601       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo,vanhuspsyk.os 601	1	PSY-TA      	PSY-AI      	S/HS70      	PH601       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,VANHUSPSYK.OS (PH601 )	Salo,vanhuspsyk.os 601	1	SSSova      	SSSHA       	PH601       	PH601       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo,vanhuspsyk.os 602	1	PSY-TA      	PSY-AI      	S/HS70      	PH602       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo,vanhuspsyk.os 602	1	S/HS        	S/HS        	S/HS70      	PH602       
Salon seudun ova	Halikon sairaala (SSSHA )	SALO,VANHUSPSYK.OS (PH602 )	Salo,vanhuspsyk.os 602	1	SSSova      	SSSHA       	PH602       	PH602       
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	PHAK aikuispsykiatrian pkl	1	S/HS        	S/HS        	S/HS70      	PHAK        
Salon seudun ova	Halikon sairaala (SSSHA )	AIKUISPSYKIATRIAN PKL KAARINA	PHAK aikuispsykiatrian pkl	1	SSSova      	SSSHA       	PHAK        	PHAK        
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	PHAK aikuispsykiatrian pkl	1	PSY-TA      	PSY-AI      	S/HS70      	PHAK        
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	PHAK12 lääkärin vo	1	PSY-TA	PSY-AI	S/HS70	PHAK12
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo, PHAP	1	PSY-TA      	PSY-AI      	S/HS70      	PHAP        
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salon psykiatrian pkl (PHAS )	1	S/HS        	S/HS        	S/HS70      	PHAS        
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salon psykiatrian pkl (PHAS )	1	PSY-TA      	PSY-AI      	S/HS70      	PHAS        
Salon seudun ova	Halikon sairaala (SSSHA )	SALON PSYKIATRIAN PKL	Salon psykiatrian pkl (PHAS )	1	SSSova      	SSSHA       	PHAS        	PHAS        
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salon psykiatrian pkl (PHASK )	1	PSY-TA      	PSY-AI      	S/HS70      	PHASK       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salon psykiatrian pkl (PHASM )	1	PSY-TA      	PSY-AI      	S/HS70      	PHASM       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salon psykiatrian pkl (PHASP )	1	PSY-TA      	PSY-AI      	S/HS70      	PHASP       
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salon psykiatrian pkl (PHASV )	1	PSY-TA      	PSY-AI      	S/HS70      	PHASV       
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHKK1A-Kurjenmäkik.1 alak.	0	TKU         	PITKAH      	PITKAH      	PHKK1A      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHKK1A-Kurjenmäkik.1 alak.	TKS:PHKK1A-Kurjenmäkik.1 alak.	0	TKU         	PITKAH      	PHKK1A      	PHKK1A      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHKK1P-Kurjenm.k.1 pienas.	TKS:PHKK1P-Kurjenm.k.1 pienas.	0	TKU         	PITKAH      	PHKK1P      	PHKK1P      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHKK1Y-Kurjenmäkik.1 yläk.	0	TKU         	PITKAH      	PITKAH      	PHKK1Y      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHKK1Y-Kurjenmäkik.1 yläk.	TKS:PHKK1Y-Kurjenmäkik.1 yläk.	0	TKU         	PITKAH      	PHKK1Y      	PHKK1Y      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHKK2A-Kurjenmäkik.2 alak.	0	TKU         	PITKAH      	PITKAH      	PHKK2A      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHKK2A-Kurjenmäkik.2 alak.	TKS:PHKK2A-Kurjenmäkik.2 alak.	0	TKU         	PITKAH      	PHKK2A      	PHKK2A      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHKK2Y-Kurjenmäkik.2 yläk.	0	TKU         	PITKAH      	PITKAH      	PHKK2Y      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHKK2Y-Kurjenmäkik.2 yläk.	TKS:PHKK2Y-Kurjenmäkik.2 yläk.	0	TKU         	PITKAH      	PHKK2Y      	PHKK2Y      
Turun sosiaali- & terveystoimi	TKU/Kotish. tukevat vuodeos.	TKU/Kotish. tukevat vuodeos.	TKS:PHKPES-Kurjenpesä	0	TKU         	KOTIVO      	KOTIVO      	PHKPES      
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo, PHKPO	1	PSY-TA      	PSY-AI      	S/HS70      	PHKPO       
Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Päijät-Hämeen keskussairaala	0	SAIRUL      	SAIRUL      	SAIRUL      	PHKS        
Muut	Sairaala	Päijät-Hämeen keskussairaala	Päijät-Hämeen keskussairaala	0	MUUT        	SAIR        	PHKS        	PHKS        
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHKURK-Kurjenkunnas	0	TKU         	PITKAH      	PITKAH      	PHKURK      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHKURK-Kurjenkunnas	TKS:PHKURK-Kurjenkunnas	0	TKU         	PITKAH      	PHKURK      	PHKURK      
Psykiatrian tulosalue	Lastenpsykiatria	Halikon sairaala/lastenpsyk.	PHLK lastenpsykiatrian pkl	1	PSY-TA      	PSY-LA      	S/HS75      	PHLK        
Halikon sairaala	Halikon sairaala	Halikon sairaala/lastenpsyk.	Salon lasten psykiatrian pkl	1	S/HS        	S/HS        	S/HS75      	PHLS        
Salon seudun ova	Halikon sairaala (SSSHA )	SALON LASTEN PSYKIATRIAN PKL	Salon lasten psykiatrian pkl	1	SSSova      	SSSHA       	PHLS        	PHLS        
Psykiatrian tulosalue	Lastenpsykiatria	Halikon sairaala/lastenpsyk.	Salon lasten psykiatrian pkl	1	PSY-TA      	PSY-LA      	S/HS75      	PHLS        
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo, PHMI	1	PSY-TA      	PSY-AI      	S/HS70      	PHMI        
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHMKO1-Mäntykoti 1	0	TKU         	PITKAH      	PITKAH      	PHMKO1      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHMKO1-Mäntykoti 1	TKS:PHMKO1-Mäntykoti 1	0	TKU         	PITKAH      	PHMKO1      	PHMKO1      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHMKO2-Mäntykoti 2	0	TKU         	PITKAH      	PITKAH      	PHMKO2      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHMKO2-Mäntykoti 2	TKS:PHMKO2-Mäntykoti 2	0	TKU         	PITKAH      	PHMKO2      	PHMKO2      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHMKO4-Mäntykoti 4	0	TKU         	PITKAH      	PITKAH      	PHMKO4      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHMKOA-Mäntykoti, alakerta	0	TKU         	PITKAH      	PITKAH      	PHMKOA      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHMKOS-Mäntykoti, siipi	0	TKU         	PITKAH      	PITKAH      	PHMKOS      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHMKOY-Mäntykoti, yläkerta	0	TKU         	PITKAH      	PITKAH      	PHMKOY      
Psykiatrian tulosalue	Nuorisopsykiatria	Halikon sairaala/nuorisopsyk.	PHNK nuorisopsykiatrian pkl	1	PSY-TA      	PSY-NU      	S/HS74      	PHNK        
Halikon sairaala	Halikon sairaala	Halikon sairaala/nuorisopsyk.	PHNK nuorisopsykiatrian pkl	1	S/HS        	S/HS        	S/HS74      	PHNK        
Salon seudun ova	Halikon sairaala (SSSHA )	SALON NUORISOPOLIKLINIKKA	Salon nuorisopoliklinikka	1	SSSova      	SSSHA       	PHNS        	PHNS        
Psykiatrian tulosalue	Lastenpsykiatria	Halikon sairaala/lastenpsyk.	Salon nuorisopoliklinikka	1	PSY-TA      	PSY-LA      	S/HS75      	PHNS        
Halikon sairaala	Halikon sairaala	Halikon sairaala/lastenpsyk.	Salon nuorisopoliklinikka	1	S/HS        	S/HS        	S/HS75      	PHNS        
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHORT2-Portsakodin os 2	TKS:PHORT2-Portsakodin os 2	0	TKU         	PITKAH      	PHORT2      	PHORT2      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHORT2-Portsakodin os 2	0	TKU         	PITKAH      	PITKAH      	PHORT2      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHORT3-Portsakodin os 3	0	TKU         	PITKAH      	PITKAH      	PHORT3      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHORT3-Portsakodin os 3	TKS:PHORT3-Portsakodin os 3	0	TKU         	PITKAH      	PHORT3      	PHORT3      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHOS11-pitkäaik.sh os 11	0	TKU         	PITKAH      	PITKAH      	PHOS11      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHOS11-pitkäaik.sh os 11	TKS:PHOS11-pitkäaik.sh os 11	0	TKU         	PITKAH      	PHOS11      	PHOS11      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHOS12-pitkäaik.sh os 12	TKS:PHOS12-pitkäaik.sh os 12	0	TKU         	PITKAH      	PHOS12      	PHOS12      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHOS12-pitkäaik.sh os 12	0	TKU         	PITKAH      	PITKAH      	PHOS12      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHOS13-pitkäaik.sh os 13	TKS:PHOS13-pitkäaik.sh os 13	0	TKU         	PITKAH      	PHOS13      	PHOS13      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHOS14-pitkäaik.sh os 14	TKS:PHOS14-pitkäaik.sh os 14	0	TKU         	PITKAH      	PHOS14      	PHOS14      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHOS14-pitkäaik.sh os 14	0	TKU         	PITKAH      	PITKAH      	PHOS14      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHOS15-pitkäaik.sh os 15	0	TKU         	PITKAH      	PITKAH      	PHOS15      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHOS15-pitkäaik.sh os 15	TKS:PHOS15-pitkäaik.sh os 15	0	TKU         	PITKAH      	PHOS15      	PHOS15      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHOS16-pitkäaik.sh os 16	TKS:PHOS16-pitkäaik.sh os 16	0	TKU         	PITKAH      	PHOS16      	PHOS16      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHOS16-pitkäaik.sh os 16	0	TKU         	PITKAH      	PITKAH      	PHOS16      
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	PHPK päivä- ja kuntoutumisyks	1	PSY-TA      	PSY-AI      	S/HS70      	PHPK        
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	PHPK päivä- ja kuntoutumisyks	1	S/HS        	S/HS        	S/HS70      	PHPK        
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKS:PHPPE1-Peiponpesä 1	TKS:PHPPE1-Peiponpesä 1	0	TKU         	PITKAH      	PHPPE1      	PHPPE1      
Turun sosiaali- & terveystoimi	TKU/Pitkäaikaissairaanhoito	TKU/Pitkäaikaissairaanhoito	TKS:PHPPE1-Peiponpesä 1	0	TKU         	PITKAH      	PITKAH      	PHPPE1      
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salon psykiatrian pkl (PHTU )	1	PSY-TA      	PSY-AI      	S/HS70      	PHTU        
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo/vanhuspoliklinikka	1	S/HS        	S/HS        	S/HS70      	PHV         
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo/vanhuspoliklinikka	1	PSY-TA      	PSY-AI      	S/HS70      	PHV         
Salon seudun ova	Halikon sairaala (SSSHA )	SALO/VANHUSPOLIKLINIKKA	Salo/vanhuspoliklinikka	1	SSSova      	SSSHA       	PHV         	PHV         
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo, PHVA	1	PSY-TA      	PSY-AI      	S/HS70      	PHVA        
Halikon sairaala	Halikon sairaala	Halikon sairaala/aikuispsyk.	Salo yleissairaala psyk.pkl	1	S/HS        	S/HS        	S/HS70      	PHY         
Salon seudun ova	Halikon sairaala (SSSHA )	SALO YLEISSAIRAALA PSYK.PKL	Salo yleissairaala psyk.pkl	1	SSSova      	SSSHA       	PHY         	PHY         
Psykiatrian tulosalue	Aikuispsykiatria	Halikon sairaala/aikuispsyk.	Salo yleissairaala psyk.pkl	1	PSY-TA      	PSY-AI      	S/HS70      	PHY         
Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Pieksämäen aluesairaala	0	SAIRUL      	SAIRUL      	SAIRUL      	PIEKS       
Muut	Terveyskeskus	Pieksämäen seudun tk	Pieksämäen seudun tk	0	MUUT        	TK          	PIEKTK      	PIEKTK      
Terveyskeskus/ulkopuolinen	Terveyskeskus/ulkopuolinen	Terveyskeskus/ulkopuolinen	Pieksämäen seudun tk	0	TKULKO      	TKULKO      	TKULKO      	PIEKTK      
Muut	Terveyskeskus	Pietarsaaren seudun tk	Pietarsaaren seudun tk	0	MUUT        	TK          	PIETAR      	PIETAR      
Terveyskeskus/ulkopuolinen	Terveyskeskus/ulkopuolinen	Terveyskeskus/ulkopuolinen	Pietarsaaren seudun tk	0	TKULKO      	TKULKO      	TKULKO      	PIETAR      
Terveyskeskus/ulkopuolinen	Terveyskeskus/ulkopuolinen	Terveyskeskus/ulkopuolinen	PIETKA-pietarsaaren kaupunki	0	TKULKO	TKULKO	TKULKO	PIETKA
Muut	Yksityinen	Pihlajakoti	Pihlajakoti	0	MUUT        	YKSIT       	PIHLA       	PIHLA       
Yksityinen	Yksityinen	Yksityinen	Pihlajakoti	0	YKSIT       	YKSIT       	YKSIT       	PIHLA       
Turun hyvinvointitoimiala	TKU/Palvelutalot	TKU/Ostopalvelu-palvelutalot	Pihlajakoti/Turku	0	TKU	PALTAL	EPALTA	PIHLAT
TYKSLAB	Piiri	LABPIIRI-laboratorio, piiri	LABPIIRI-laboratorio, piiri	0	TYKSLA	PIIRI	PIIRI	PIIRI
Loimaan seudun ova	Pöytyän seudun tk	Karinaisten ta	Karinaisten ta	0	LOSova      	PÖYTK       	PÍKATA      	PÍKATA      
Yksityinen	Yksityinen	Yksityinen	Ensikoti Pinja	0	YKSIT       	YKSIT       	YKSIT       	PINJA       
Muut	Muut	Muut	Pirkanmaan kasvatusnla	0	MUUT        	MUUT        	MUUT        	PIRKNL      
Muut	Sairaala	Pirkanmaan sairaala	Pirkanmaan sairaala	0	MUUT        	SAIR        	PIRMS       	PIRMS       
Turunmaan ova	Paraisten tk	PAR:PÄIVYSTYSVASTAANOTTO	PAR:Päivystysvastaanotto	0	TMSova      	PARTK       	PJOUR       	PJOUR       
Paraisten tk	Paraisten tk	Paraisten tk	PAR:Päivystysvastaanotto	0	PARTK       	PARTK       	PARTK       	PJOUR       
Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	PKKS-Pohjois-Karjalan ks	0	SAIRUL      	SAIRUL      	SAIRUL      	PKARKS      
Muut	Sairaala	PKKS-Pohjois-Karjalan ks	PKKS-Pohjois-Karjalan ks	0	MUUT        	SAIR        	PKARKS      	PKARKS      
Muut	Muut	TAYS/syöpät/Pirkko Kellokumpu	TAYS/syöpät/Pirkko Kellokumpu	0	MUUT        	MUUT        	PKELLO      	PKELLO      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI301-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	PKI301      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI801-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	PKI801      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI802-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	PKI802      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI803	1	TYKS        	TSAIR       	253         	PKI803      
TYKS	TYKS/T-sairaala	253-päiväkirurginen leik.os.	253/PKI901-päiväkir. leik.os	1	TYKS        	TYKST       	253         	PKI901      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI901-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	PKI901      
TYKS	TYKS/T-sairaala	253-päiväkirurginen leik.os.	253/PKI902-päiväkir. leik.os	1	TYKS        	TYKST       	253         	PKI902      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI902-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	PKI902      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI903-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	PKI903      
TYKS	TYKS/T-sairaala	253-päiväkirurginen leik.os.	253/PKI903-päiväkir. leik.os	1	TYKS        	TYKST       	253         	PKI903      
TYKS	T-SAIRAALA	253-päiväkirurginen leik.os.	253/PKI904-päiväkir. leik.os	1	TYKS        	TSAIR       	253         	PKI904      
TYKS	TYKS/T-sairaala	253-päiväkirurginen leik.os.	253/PKI904-päiväkir. leik.os	1	TYKS        	TYKST       	253         	PKI904      
Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	PKS-Porin kaupunginsairaala	0	SAIRUL      	SAIRUL      	SAIRUL      	PKS         
Muut	Sairaala	PKS-Porin kaupunginsairaala	PKS-Porin kaupunginsairaala	0	MUUT        	SAIR        	PKS         	PKS         
TYKS	T-SAIRAALA	221-kirurgian pkl	221/PLA101-Kirurginen pkl	1	TYKS        	TSAIR       	221         	PLA101      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	221/PLA101-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA101      
TYKS	TYKS/T-sairaala	221-kirurgian pkl	221/PLA101-Kirurginen pkl	1	TYKS        	TYKST       	221         	PLA101      
TYKS	T-SAIRAALA	221-kirurgian pkl	221/PLA102-Kirurginen pkl	1	TYKS        	TSAIR       	221         	PLA102      
TYKS	TYKS/T-sairaala	221-kirurgian pkl	221/PLA102-Kirurginen pkl	1	TYKS        	TYKST       	221         	PLA102      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	221/PLA102-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA102      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	221/PLA103-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA103      
TYKS	TYKS/T-sairaala	221-kirurgian pkl	221/PLA103-Kirurginen pkl	1	TYKS        	TYKST       	221         	PLA103      
TYKS	T-SAIRAALA	221-kirurgian pkl	221/PLA103-Kirurginen pkl	1	TYKS        	TSAIR       	221         	PLA103      
TYKS	T-SAIRAALA	221-kirurgian pkl	221/PLA104-Kirurginen pkl	1	TYKS        	TSAIR       	221         	PLA104      
TYKS	TYKS/T-sairaala	221-kirurgian pkl	221/PLA104-Kirurginen pkl	1	TYKS        	TYKST       	221         	PLA104      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	221/PLA104-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA104      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	PLA105-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA105      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	PLA106-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA106      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	PLA107-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA107      
TYKS	TYKS/T-sairaala	221-kirurgian pkl	221/PLA201-Kirurginen pkl	1	TYKS        	TYKST       	221         	PLA201      
TYKS	T-SAIRAALA	221-kirurgian pkl	221/PLA201-Kirurginen pkl	1	TYKS        	TSAIR       	221         	PLA201      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	221/PLA201-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA201      
Operatiivisen hoidon tr	Kirurgian tulosyksikkö	221-kirurgian pkl	221/PLA301-Kirurginen pkl	1	OP-HTR      	OP-KIR      	221         	PLA301      
TYKS	T-SAIRAALA	221-kirurgian pkl	221/PLA801-Kirurginen pkl	1	TYKS        	TSAIR       	221         	PLA801      
TYKS	T-SAIRAALA	221-kirurgian pkl	221/PLA901-Kirurginen pkl	1	TYKS        	TSAIR       	221         	PLA901      
Loimaan aluesairaala	Loimaan aluesairaala/Lieto	LAS/psykiatria (avoh)	PLALI-aikuispsyk pkl Lieto	1	LAS         	LASLIE      	LASPSA      	PLALI       
